x,y,z,P,Sw,Sg
675,475,12.5,199.179,0.2,0.0500411
725,475,12.5,199.676,0.2,0.0500162
775,475,12.5,199.922,0.2,0.0500039
825,475,12.5,199.983,0.2,0.0500009
875,475,12.5,199.996,0.2,0.0500002
925,475,12.5,199.999,0.2,0.05
975,475,12.5,200,0.2,0.05
25,25,37.5,200,0.2,0.05
75,25,37.5,200,0.2,0.05
125,25,37.5,199.998,0.2,0.0500001
175,25,37.5,199.991,0.2,0.0500005
225,25,37.5,199.948,0.2,0.0500026
275,25,37.5,199.731,0.2,0.0500134
325,25,37.5,199.211,0.2,0.0500395
375,25,37.5,199.009,0.2,0.0500496
425,25,37.5,199.334,0.2,0.0500333
475,25,37.5,199.304,0.2,0.0500348
525,25,37.5,198.83,0.2,0.0500585
575,25,37.5,198.762,0.2,0.0500619
625,25,37.5,198.605,0.2,0.0500698
675,25,37.5,199.376,0.2,0.0500312
725,25,37.5,199.806,0.2,0.0500097
775,25,37.5,199.956,0.2,0.0500022
825,25,37.5,199.991,0.2,0.0500004
875,25,37.5,199.999,0.2,0.0500001
925,25,37.5,200,0.2,0.05
975,25,37.5,200,0.2,0.05
25,75,37.5,200,0.2,0.05
75,75,37.5,199.999,0.2,0.05
125,75,37.5,199.993,0.2,0.0500003
175,75,37.5,199.974,0.2,0.0500013
225,75,37.5,199.858,0.2,0.0500071
275,75,37.5,199.374,0.2,0.0500313
325,75,37.5,197.87,0.2,0.0501066
375,75,37.5,195.298,0.2,0.0502356
425,75,37.5,196.981,0.2,0.0501512
475,75,37.5,196.859,0.2,0.0501573
525,75,37.5,194.301,0.2,0.0502857
575,75,37.5,194.274,0.2,0.0502871
625,75,37.5,193.156,0.2,0.0503433
675,75,37.5,197.261,0.2,0.0501371
725,75,37.5,199.237,0.2,0.0500382
775,75,37.5,199.84,0.2,0.050008
825,75,37.5,199.966,0.2,0.0500017
875,75,37.5,199.995,0.2,0.0500003
925,75,37.5,199.999,0.2,0.05
975,75,37.5,200,0.2,0.05
25,125,37.5,200,0.2,0.05
75,125,37.5,199.998,0.2,0.0500001
125,125,37.5,199.984,0.2,0.0500008
175,125,37.5,199.915,0.2,0.0500042
225,125,37.5,199.498,0.2,0.0500251
275,125,37.5,197.689,0.2,0.0501157
325,125,37.5,190.818,0.2,0.0504611
375,125,37.5,176.337,0.2,0.0511969
425,125,37.5,188.204,0.2,0.0505932
475,125,37.5,187.364,0.2,0.0506357
525,125,37.5,173.463,0.2,0.0513441
575,125,37.5,175.52,0.2,0.0512386
625,125,37.5,167.707,0.2,0.0516403
675,125,37.5,189.399,0.2,0.0505328
725,125,37.5,197.192,0.2,0.0501406
775,125,37.5,199.437,0.2,0.0500281
825,125,37.5,199.904,0.2,0.0500048
875,125,37.5,199.986,0.2,0.0500007
925,125,37.5,199.998,0.2,0.0500001
975,125,37.5,200,0.2,0.05
25,175,37.5,199.999,0.2,0.05
75,175,37.5,199.996,0.2,0.0500002
125,175,37.5,199.968,0.2,0.0500016
175,175,37.5,199.79,0.2,0.0500105
225,175,37.5,198.725,0.2,0.0500638
275,175,37.5,194.303,0.2,0.0502856
325,175,37.5,173.129,0.2,0.0513613
375,175,37.5,105.847,0.2,0.0549221
425,175,37.5,164.238,0.2,0.0518195
475,175,37.5,161.776,0.2,0.0519471
525,175,37.5,99.8369,0.2,0.0552532
575,175,37.5,128.201,0.2,0.0537178
625,175,37.5,102.52,0.2,0.0551055
675,175,37.5,173.975,0.2,0.0513179
725,175,37.5,192.399,0.2,0.0503815
775,175,37.5,198.621,0.2,0.050069
825,175,37.5,199.785,0.2,0.0500108
875,175,37.5,199.969,0.2,0.0500015
925,175,37.5,199.996,0.2,0.0500002
975,175,37.5,199.999,0.2,0.05
25,225,37.5,199.999,0.2,0.05
75,225,37.5,199.995,0.2,0.0500003
125,225,37.5,199.958,0.2,0.0500021
175,225,37.5,199.695,0.2,0.0500152
225,225,37.5,198.055,0.2,0.0500973
275,225,37.5,193.086,0.2,0.0503468
325,225,37.5,167.547,0.2,0.0516485
375,225,37.5,94.9137,0.2,0.0555252
425,225,37.5,151.883,0.2,0.052463
475,225,37.5,145.094,0.2,0.0528198
525,225,37.5,90.9168,0.2,0.0557496
575,225,37.5,125.206,0.2,0.0538788
625,225,37.5,93.5443,0.2,0.0556029
675,225,37.5,168.306,0.2,0.0516094
725,225,37.5,191.437,0.2,0.0504299
775,225,37.5,198.346,0.2,0.0500828
825,225,37.5,199.731,0.2,0.0500135
875,225,37.5,199.962,0.2,0.0500019
925,225,37.5,199.995,0.2,0.0500002
975,225,37.5,199.999,0.2,0.05
25,275,37.5,199.999,0.2,0.05
75,275,37.5,199.995,0.2,0.0500002
125,275,37.5,199.964,0.2,0.0500018
175,275,37.5,199.745,0.2,0.0500128
225,275,37.5,198.432,0.2,0.0500785
275,275,37.5,192.716,0.2,0.0503655
325,275,37.5,167.075,0.2,0.0516729
375,275,37.5,97.8163,0.2,0.0553658
425,275,37.5,154.267,0.2,0.0523382
475,275,37.5,134.036,0.2,0.0534061
525,275,37.5,95.7267,0.2,0.0554827
575,275,37.5,135.989,0.2,0.0533019
625,275,37.5,96.2036,0.2,0.0554557
675,275,37.5,166.648,0.2,0.0516949
725,275,37.5,191.43,0.2,0.0504303
775,275,37.5,198.106,0.2,0.0500948
825,275,37.5,199.695,0.2,0.0500152
875,275,37.5,199.957,0.2,0.0500021
925,275,37.5,199.994,0.2,0.0500003
975,275,37.5,199.999,0.2,0.05
25,325,37.5,200,0.2,0.05
75,325,37.5,199.996,0.2,0.0500002
125,325,37.5,199.974,0.2,0.0500013
175,325,37.5,199.824,0.2,0.0500088
225,325,37.5,198.919,0.2,0.0500541
275,325,37.5,194.204,0.2,0.0502906
325,325,37.5,173.854,0.2,0.0513241
375,325,37.5,109.241,0.2,0.0547376
425,325,37.5,165.256,0.2,0.0517668
475,325,37.5,158.155,0.2,0.0521354
525,325,37.5,107.404,0.2,0.0548389
575,325,37.5,147.966,0.2,0.0526685
625,325,37.5,109.002,0.2,0.0547511
675,325,37.5,166.803,0.2,0.051687
725,325,37.5,192.259,0.2,0.0503885
775,325,37.5,198.391,0.2,0.0500805
825,325,37.5,199.74,0.2,0.050013
875,325,37.5,199.964,0.2,0.0500018
925,325,37.5,199.994,0.2,0.0500003
975,325,37.5,199.999,0.2,0.05
25,375,37.5,200,0.2,0.05
75,375,37.5,199.997,0.2,0.0500001
125,375,37.5,199.987,0.2,0.0500007
175,375,37.5,199.914,0.2,0.0500043
225,375,37.5,199.551,0.2,0.0500224
275,375,37.5,197.793,0.2,0.0501105
325,375,37.5,191.276,0.2,0.050438
375,375,37.5,176.157,0.2,0.0512061
425,375,37.5,185.003,0.2,0.0507553
475,375,37.5,172.026,0.2,0.051418
525,375,37.5,162.544,0.2,0.0519074
575,375,37.5,175.093,0.2,0.0512605
625,375,37.5,172.941,0.2,0.051371
675,375,37.5,186.646,0.2,0.050672
725,375,37.5,196.577,0.2,0.0501715
775,375,37.5,199.29,0.2,0.0500355
825,375,37.5,199.878,0.2,0.0500061
875,375,37.5,199.981,0.2,0.0500009
925,375,37.5,199.997,0.2,0.0500001
975,375,37.5,199.999,0.2,0.05
25,425,37.5,200,0.2,0.05
75,425,37.5,199.998,0.2,0.0500001
125,425,37.5,199.995,0.2,0.0500003
175,425,37.5,199.963,0.2,0.0500019
225,425,37.5,199.859,0.2,0.0500071
275,425,37.5,199.342,0.2,0.0500329
325,425,37.5,197.629,0.2,0.0501187
375,425,37.5,194.845,0.2,0.0502584
425,425,37.5,194.738,0.2,0.0502638
475,425,37.5,188.984,0.2,0.0505538
525,425,37.5,190.186,0.2,0.050493
575,425,37.5,190.774,0.2,0.0504633
625,425,37.5,190.068,0.2,0.050499
675,425,37.5,196.255,0.2,0.0501876
725,425,37.5,198.916,0.2,0.0500542
775,425,37.5,199.769,0.2,0.0500116
825,425,37.5,199.956,0.2,0.0500022
875,425,37.5,199.99,0.2,0.0500005
925,425,37.5,199.999,0.2,0.0500001
975,425,37.5,200,0.2,0.05
25,475,37.5,200,0.2,0.05
75,475,37.5,200,0.2,0.05
125,475,37.5,199.999,0.2,0.0500001
175,475,37.5,199.991,0.2,0.0500004
225,475,37.5,199.963,0.2,0.0500019
275,475,37.5,199.838,0.2,0.0500081
325,475,37.5,199.463,0.2,0.0500269
375,475,37.5,198.817,0.2,0.0500592
425,475,37.5,198.637,0.2,0.0500682
475,475,37.5,197.506,0.2,0.0501248
525,475,37.5,197.639,0.2,0.0501182
575,475,37.5,197.773,0.2,0.0501115
625,475,37.5,197.845,0.2,0.0501078
675,475,37.5,199.071,0.2,0.0500465
725,475,37.5,199.714,0.2,0.0500143
775,475,37.5,199.935,0.2,0.0500032
825,475,37.5,199.981,0.2,0.0500009
875,475,37.5,199.997,0.2,0.0500002
925,475,37.5,200,0.2,0.05
975,475,37.5,200,0.2,0.05
