seg_id,frac_id,leaf_id,parent_id,area,cx,cy,cz,Tmf
708,79,448,90,118.093,533.872,219.875,22.7073,0.000944744
709,79,450,90,48.2911,546.372,227.096,22.7073,0.000386329
710,79,451,90,191.68,518.608,204.33,30.3604,0.00153344
711,79,452,90,711.575,538.563,211.886,34.8761,0.0056926
712,79,454,90,6.76309,548.745,225.725,25.8248,5.41047e-05
713,79,457,91,117.312,558.813,234.282,22.7073,0.000938495
714,79,459,91,379.608,562.5,220.401,40.9177,0.00303687
715,79,460,91,3.36293,575.62,224.235,45.1765,2.69035e-05
716,79,461,91,307.248,563.7,228.329,32.6889,0.00245798
717,79,462,91,1.23218,575.31,225.536,43.4931,9.85747e-06
718,80,696,129,10.8971,498.876,348.523,45.9588,8.7177e-05
719,80,703,130,132.566,505.407,342.452,47.5753,0.00106053
720,80,840,149,209.187,491.552,360.667,47.5753,0.0016735
721,80,841,149,125.84,469.444,389.623,47.5046,0.00100672
722,80,842,149,63.045,477.783,378.66,47.5046,0.00050436
723,80,847,150,6.15995,500.845,351.111,49.286,4.92796e-05
724,80,1732,330,304.74,516.664,344.453,58.3743,0.00243792
725,80,1733,330,21.6504,526.146,347.25,68.1848,0.000173203
726,80,1855,349,260.404,494.507,367.778,54.6422,0.00208323
727,80,1856,349,101.491,470.922,396.138,52.9403,0.000811932
728,80,1857,349,697.471,486.874,386.677,60.3396,0.00557977
729,80,1862,350,585.668,509.879,359.054,62.0255,0.00468535
730,80,1863,350,0.544424,525.251,350.33,69.4087,4.35539e-06
731,80,1864,350,43.5377,502.246,377.953,67.7229,0.000348302
732,80,1979,369,27.7443,472.643,401.793,58.0292,0.000221955
733,80,1980,369,109.96,479.548,403.73,65.1093,0.000879681
734,81,1148,222,104.344,121.014,94.5867,71.5709,0.000834754
735,81,1149,222,166.445,137.5,97.1828,73.3185,0.00133156
736,81,1152,222,49.6476,122.689,84.8566,77.7134,0.00039718
737,81,1153,222,268.594,137.5,89.8193,77.7134,0.00214876
738,81,1156,223,3.68669,151.438,99.518,74.7123,2.94935e-05
739,81,1160,223,178.606,160.132,97.0779,77.9074,0.00142885
740,81,1222,242,124.756,119.422,104.621,65.2639,0.000998049
741,81,1223,242,457.873,137.5,107.75,67.0116,0.00366298
742,81,1230,243,438.102,157.939,109.957,69.7818,0.00350482
743,81,1234,243,60.3765,165.974,101.85,76.2278,0.000483012
744,82,1449,287,255.553,370.097,213.151,56.7169,0.00204442
745,82,1450,287,429.899,383.059,212.874,62.634,0.00343919
746,82,1451,287,240.903,370.617,237.5,56.4777,0.00192723
747,82,1452,287,472.165,383.59,237.5,62.3948,0.00377732
748,82,1574,307,57.0832,370.956,253.208,56.3249,0.000456666
749,82,1575,307,114.966,383.917,252.931,62.242,0.000919729
750,83,257,59,52.3041,965.201,148.237,19.3377,0.000418432
751,83,261,59,11.2232,971.627,149.369,28.3974,8.97855e-05
752,83,382,78,93.1753,948.012,188.422,16.6786,0.000745403
753,83,387,79,370.762,959.814,162.5,19.3377,0.00296609
754,83,389,79,193.822,952.344,183.62,20.0072,0.00155058
755,83,391,79,222.458,966.668,162.5,28.3974,0.00177966
756,83,393,79,192.358,957.864,185.809,28.3974,0.00153887
757,84,4,2,222.452,114.68,46.9,19.2971,0.00177962
758,84,5,2,39.0937,128.864,48.7146,23.25,0.00031275
759,84,8,2,264.835,116.969,38.7586,31.4177,0.00211868
760,84,9,2,359.923,137.319,45.5783,31.3484,0.00287938
761,84,16,3,64.8938,154.979,48.3439,35.5807,0.000519151
762,84,57,22,57.7717,120.302,51.5626,15.4951,0.000462173
763,84,58,22,334.471,137.319,54.4301,19.2971,0.00267577
764,84,62,22,52.2788,145.531,51.4864,27.0237,0.00041823
765,84,65,23,286.334,159.581,61.9182,19.1838,0.00229067
766,84,69,23,295.427,161.729,53.6976,31.3484,0.00236341
767,85,1927,361,256.521,93.8193,415.692,90.8212,0.00205216
768,85,1929,361,18.8361,97.3219,426.533,89.3058,0.000150689
769,85,1934,362,296.072,114.467,419.322,92.2262,0.00236857
770,85,1935,362,0.000571571,125.007,420.312,93.0915,4.57257e-09
771,85,1936,362,183.823,109.292,429.424,89.9855,0.00147059
772,86,240,56,1.44417,823.466,149.72,24.2521,1.15534e-05
773,86,244,56,1.1653,824.612,149.486,25.3902,9.32237e-06
774,86,245,56,100.959,833.115,147.916,33.7684,0.000807673
775,86,363,76,50.8134,823.239,153.22,22.7643,0.000406507
776,86,364,76,118.826,828.46,166.317,22.7663,0.000950612
777,86,366,76,91.8766,834.595,181.714,22.7663,0.000735013
778,86,367,76,0.652106,824.797,150.509,25.186,5.21685e-06
779,86,368,76,628.934,837.834,161.663,33.072,0.00503147
780,86,370,76,200.899,843.431,180.237,31.4167,0.00160719
781,86,375,77,12.0112,850.87,172.817,40.958,9.60892e-05
782,86,377,77,41.6771,851.934,178.667,39.7949,0.000333417
783,87,801,143,1.15746,193.177,391.667,49.9683,9.25967e-06
784,87,808,144,1.59737,209.417,384.243,49.9683,1.2779e-05
785,87,1823,343,188.642,193.775,395.844,55.8315,0.00150914
786,87,1830,344,570.171,210.643,392.311,61.3339,0.00456137
787,87,1939,363,107.488,195.268,403.06,66.2354,0.000859905
788,87,1946,364,36.7277,203.185,401.456,68.8899,0.000293821
