leaf_id,parent_id,x,y,z,P,Sw,Sg
217,51,587.5,112.5,37.5,199.764,0.2,0.0500118
218,51,562.5,137.5,37.5,199.59,0.2,0.0500205
219,51,587.5,137.5,37.5,198.526,0.2,0.0500738
220,52,612.5,112.5,12.5,199.86,0.2,0.050007
221,52,637.5,112.5,12.5,199.964,0.2,0.0500018
222,52,612.5,137.5,12.5,199.036,0.2,0.0500482
223,52,637.5,137.5,12.5,199.722,0.2,0.0500139
224,52,612.5,112.5,37.5,199.409,0.2,0.0500296
225,52,637.5,112.5,37.5,199.86,0.2,0.050007
226,52,612.5,137.5,37.5,194.991,0.2,0.050251
227,52,637.5,137.5,37.5,199.083,0.2,0.0500459
228,53,662.5,112.5,12.5,199.996,0.2,0.0500002
229,53,687.5,112.5,12.5,199.999,0.2,0.05
230,53,662.5,137.5,12.5,199.973,0.2,0.0500013
231,53,687.5,137.5,12.5,199.993,0.2,0.0500003
232,53,662.5,112.5,37.5,199.986,0.2,0.0500007
233,53,687.5,112.5,37.5,199.998,0.2,0.0500001
234,53,662.5,137.5,37.5,199.929,0.2,0.0500035
235,53,687.5,137.5,37.5,199.99,0.2,0.0500005
236,54,725,125,25,200,0.2,0.05
237,55,775,125,25,200,0.2,0.05
238,56,812.5,112.5,12.5,200,0.2,0.05
239,56,837.5,112.5,12.5,200,0.2,0.05
240,56,812.5,137.5,12.5,200,0.2,0.05
241,56,837.5,137.5,12.5,200,0.2,0.05
242,56,812.5,112.5,37.5,200,0.2,0.05
243,56,837.5,112.5,37.5,200,0.2,0.05
244,56,812.5,137.5,37.5,200,0.2,0.05
245,56,837.5,137.5,37.5,200,0.2,0.05
246,57,862.5,112.5,12.5,200,0.2,0.05
247,57,887.5,112.5,12.5,200,0.2,0.05
248,57,862.5,137.5,12.5,200,0.2,0.05
249,57,887.5,137.5,12.5,200,0.2,0.05
250,57,862.5,112.5,37.5,200,0.2,0.05
251,57,887.5,112.5,37.5,200,0.2,0.05
252,57,862.5,137.5,37.5,200,0.2,0.05
253,57,887.5,137.5,37.5,200,0.2,0.05
254,58,925,125,25,200,0.2,0.05
255,59,962.5,112.5,12.5,200,0.2,0.05
256,59,987.5,112.5,12.5,200,0.2,0.05
257,59,962.5,137.5,12.5,200,0.2,0.05
258,59,987.5,137.5,12.5,200,0.2,0.05
259,59,962.5,112.5,37.5,200,0.2,0.05
260,59,987.5,112.5,37.5,200,0.2,0.05
261,59,962.5,137.5,37.5,200,0.2,0.05
262,59,987.5,137.5,37.5,200,0.2,0.05
263,60,25,175,25,200,0.2,0.05
264,61,62.5,162.5,12.5,200,0.2,0.05
265,61,87.5,162.5,12.5,200,0.2,0.05
266,61,62.5,187.5,12.5,200,0.2,0.05
267,61,87.5,187.5,12.5,200,0.2,0.05
268,61,62.5,162.5,37.5,200,0.2,0.05
269,61,87.5,162.5,37.5,200,0.2,0.05
