x,y,z,P,Sw,Sg
775,125,15,56.6911,0.2,0.0576763
825,125,15,57.9795,0.2,0.0576058
875,125,15,59.2909,0.2,0.0575327
925,125,15,60.3219,0.2,0.0574758
975,125,15,60.8208,0.2,0.0574477
25,175,15,60.8641,0.2,0.0574454
75,175,15,60.1478,0.2,0.057485
125,175,15,59.0423,0.2,0.057546
175,175,15,57.7697,0.2,0.0576171
225,175,15,56.5806,0.2,0.0576856
275,175,15,55.8399,0.2,0.0577272
325,175,15,53.98,0.2,0.0578189
375,175,15,52.2989,0.2,0.0579118
425,175,15,51.0351,0.2,0.0579686
475,175,15,51.1022,0.2,0.057993
525,175,15,50.5946,0.2,0.0579831
575,175,15,50.8726,0.2,0.0579991
625,175,15,50.8682,0.2,0.0579702
675,175,15,52.0929,0.2,0.0579045
725,175,15,53.4207,0.2,0.0578091
775,175,15,55.8364,0.2,0.0577163
825,175,15,57.606,0.2,0.057626
875,175,15,58.9541,0.2,0.0575514
925,175,15,60.0708,0.2,0.0574904
975,175,15,60.4664,0.2,0.0574679
25,225,15,60.9393,0.2,0.0574411
75,225,15,60.4245,0.2,0.0574698
125,225,15,59.3468,0.2,0.0575294
175,225,15,57.9133,0.2,0.0576088
225,225,15,56.5638,0.2,0.0576862
275,225,15,55.7878,0.2,0.0577258
325,225,15,53.7395,0.2,0.0578292
375,225,15,51.9751,0.2,0.0579229
425,225,15,50.8601,0.2,0.0579993
475,225,15,50.7253,0.2,0.0580254
525,225,15,50.3642,0.2,0.0580396
575,225,15,50.562,0.2,0.0580356
625,225,15,50.6645,0.2,0.0580133
675,225,15,51.6564,0.2,0.0579627
725,225,15,52.6748,0.2,0.0578638
775,225,15,55.1974,0.2,0.0577473
825,225,15,57.278,0.2,0.0576421
875,225,15,58.8532,0.2,0.0575574
925,225,15,59.9709,0.2,0.0574959
975,225,15,60.3582,0.2,0.0574744
25,275,15,61.0147,0.2,0.0574367
75,275,15,60.6793,0.2,0.0574557
125,275,15,59.7321,0.2,0.0575078
175,275,15,58.24,0.2,0.0575899
225,275,15,56.5359,0.2,0.0576838
275,275,15,55.6854,0.2,0.0577303
325,275,15,53.5338,0.2,0.0578351
375,275,15,52.1974,0.2,0.0579271
425,275,15,50.888,0.2,0.0579917
475,275,15,50.5309,0.2,0.0580335
525,275,15,50.2962,0.2,0.0580486
575,275,15,50.4553,0.2,0.0580434
625,275,15,50.592,0.2,0.0580264
675,275,15,51.2749,0.2,0.0579897
725,275,15,51.9725,0.2,0.0578812
775,275,15,54.6698,0.2,0.0577679
825,275,15,57.0675,0.2,0.057652
875,275,15,58.8136,0.2,0.0575584
925,275,15,59.7903,0.2,0.0575067
975,275,15,60.1538,0.2,0.0574861
25,325,15,61.213,0.2,0.0574254
75,325,15,60.9134,0.2,0.0574424
125,325,15,60.2089,0.2,0.0574798
175,325,15,58.4429,0.2,0.0575747
225,325,15,56.2885,0.2,0.0576894
275,325,15,55.5315,0.2,0.0577489
325,325,15,53.963,0.2,0.0578279
375,325,15,52.4733,0.2,0.0579094
425,325,15,51.0446,0.2,0.0579639
475,325,15,50.8138,0.2,0.0580183
525,325,15,50.368,0.2,0.0580333
575,325,15,50.5163,0.2,0.0580307
625,325,15,50.6455,0.2,0.0580158
675,325,15,51.2832,0.2,0.0579626
725,325,15,52.8379,0.2,0.0578694
775,325,15,54.954,0.2,0.0577591
825,325,15,57.1052,0.2,0.0576516
875,325,15,58.7258,0.2,0.0575637
925,325,15,59.7254,0.2,0.0575103
975,325,15,60.0517,0.2,0.0574921
25,375,15,61.3132,0.2,0.0574196
75,375,15,61.0245,0.2,0.0574361
125,375,15,60.6124,0.2,0.0574583
175,375,15,59.0636,0.2,0.0575381
225,375,15,56.9301,0.2,0.0576541
275,375,15,55.7548,0.2,0.0577327
325,375,15,54.2611,0.2,0.0578129
375,375,15,52.6439,0.2,0.0578886
425,375,15,51.8232,0.2,0.0579556
475,375,15,51.2747,0.2,0.0579918
525,375,15,50.6966,0.2,0.0580003
575,375,15,50.9548,0.2,0.0580078
625,375,15,51.1349,0.2,0.0579983
675,375,15,51.7893,0.2,0.0579366
725,375,15,53.4837,0.2,0.0578407
775,375,15,55.5117,0.2,0.057737
825,375,15,57.2697,0.2,0.0576459
875,375,15,58.5558,0.2,0.0575749
925,375,15,59.5902,0.2,0.0575179
975,375,15,60.0845,0.2,0.0574902
25,425,15,61.1536,0.2,0.0574287
75,425,15,61.0318,0.2,0.0574358
125,425,15,60.4998,0.2,0.0574657
175,425,15,59.278,0.2,0.0575329
225,425,15,57.6785,0.2,0.0576206
275,425,15,56.1594,0.2,0.0577069
325,425,15,54.6024,0.2,0.0577926
375,425,15,53.3656,0.2,0.0578657
425,425,15,52.3341,0.2,0.0579237
475,425,15,51.6112,0.2,0.057961
525,425,15,51.4224,0.2,0.057982
575,425,15,51.4476,0.2,0.0579823
625,425,15,51.4172,0.2,0.0579622
675,425,15,52.2287,0.2,0.0579041
725,425,15,54.0125,0.2,0.0578119
775,425,15,56.0397,0.2,0.0577115
825,425,15,57.449,0.2,0.0576389
875,425,15,58.2292,0.2,0.0575911
925,425,15,59.4967,0.2,0.057523
975,425,15,60.0767,0.2,0.0574906
25,475,15,61.1151,0.2,0.057431
75,475,15,61.0449,0.2,0.0574351
125,475,15,60.5083,0.2,0.0574653
175,475,15,59.4268,0.2,0.0575253
225,475,15,58.0039,0.2,0.0576043
275,475,15,56.4965,0.2,0.057689
325,475,15,55.022,0.2,0.0577725
375,475,15,53.788,0.2,0.057845
425,475,15,52.7958,0.2,0.0579034
475,475,15,52.1144,0.2,0.057945
525,475,15,51.8426,0.2,0.0579637
575,475,15,51.8568,0.2,0.0579628
625,475,15,52.1818,0.2,0.0579393
675,475,15,53.0997,0.2,0.0578765
725,475,15,54.6996,0.2,0.0577792
775,475,15,56.7852,0.2,0.0576695
825,475,15,57.611,0.2,0.0576289
875,475,15,58.6337,0.2,0.057571
925,475,15,59.5807,0.2,0.0575185
975,475,15,60.0945,0.2,0.0574896
